-52_19__0_62_2019-09-24.jpg,0.1667,0.0274,0.053338524,,mean IoU,Mean Dice
-52_19__0_66_2019-09-24.jpg,0.2121,0.0459,0.087771297,,0.038575188,0.073573971
-52_23__0_58_2019-09-24.jpg,0.5,0.037,0.071359691,,0.021603733,0.039824271
-52_23__0_66_2019-09-24.jpg,0.6667,0.0649,0.121889379,,,
-52_27__0_58_2019-09-24.jpg,0.0833,0.0209,0.040944265,,,
-52_27__0_66_2019-09-24.jpg,0.3333,0.0336,0.06501548,,,
-52_27__0_7_2019-09-24.jpg,0.1429,0.026,0.050682261,,,
-52_27__0_74_2019-09-24.jpg,0.5,0.0629,0.118355443,,,
-52_31__0_74_2019-09-24.jpg,0.5,0.0369,0.071173691,,,
-52_35__0_7_2019-09-24.jpg,0.1429,0.026,0.050682261,,,
-52_35__0_74_2019-09-24.jpg,0.5213,0.0445,0.085208234,,,
-52_95__-0_11_2018-10-14.jpg,0.0769,0.0201,0.039407901,,,
-52_95__-0_15_2018-10-14.jpg,0.0238,0.0087,0.017249926,,,
-52_95__-0_19_2018-10-14.jpg,0.5,0.0369,0.071173691,,,
-52_95__-0_23_2018-10-14.jpg,0.3623,0.0478,0.091238786,,,
-52_95__-0_27_2018-10-14.jpg,0.0833,0.0209,0.040944265,,,
-52_99__-0_07_2018-10-14.jpg,0.5,0.0369,0.071173691,,,
-52_99__-0_19_2018-10-14.jpg,0.0942,0.027,0.052580331,,,
-52_99__-0_23_2018-10-14.jpg,1,0.0419,0.080429984,,,
-53_03__0_01_2018-10-14.jpg,0.0667,0.0187,0.036713458,,,
-53_03__-0_15_2018-10-14.jpg,0.1111,0.0236,0.046111762,,,
-53_03__-0_27_2018-10-14.jpg,0.1667,0.0274,0.053338524,,,
-53_03__-0_31_2018-10-14.jpg,0.2,0.0291,0.056554271,,,
-53_07__0_01_2018-10-14.jpg,0.1111,0.0361,0.069684393,,,
-53_07__-0_31_2018-10-14.jpg,0.5,0.0369,0.071173691,,,
