-52_19__0_62_2019-09-24.jpg,1,0.0419,0.080429984,,mean IoU,mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-52_19__0_66_2019-09-24.jpg,0.0439,0.0217,0.042478223,,0.034221951,0.065563707,,Set 1,Set 2,Set 1 - Set 2,+,-,pvalue
-52_23__0_58_2019-09-24.jpg,0.5,0.037,0.071359691,,0.020818005,0.03898758,,0.080429984,0.053338524,0.02709146,10,22,0.001663446
-52_23__0_66_2019-09-24.jpg,0.1833,0.0478,0.091238786,,,,,0.042478223,0.087771297,-0.045293074,,,
-52_27__0_58_2019-09-24.jpg,0.0476,0.0155,0.030526834,,,,,0.071359691,0.071359691,0,,,
-52_27__0_66_2019-09-24.jpg,0.0909,0.0217,0.042478223,,,,,0.091238786,0.121889379,-0.030650593,,,
-52_27__0_7_2019-09-24.jpg,0.0417,0.0142,0.028002366,,,,,0.030526834,0.040944265,-0.010417431,,,
-52_27__0_74_2019-09-24.jpg,0.106,0.038,0.073217726,,,,,0.042478223,0.06501548,-0.022537257,,,
-52_31__0_74_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.028002366,0.050682261,-0.022679895,,,
-52_35__0_7_2019-09-24.jpg,0.5,0.0369,0.071173691,,,,,0.073217726,0.118355443,-0.045137717,,,
-52_35__0_74_2019-09-24.jpg,0.5455,0.0517,0.098317011,,,,,0.080429984,0.071173691,0.009256293,,,
-52_95__-0_11_2018-10-14.jpg,0.0909,0.0217,0.042478223,,,,,0.071173691,0.050682261,0.02049143,,,
-52_95__-0_15_2018-10-14.jpg,0,ading m,ading m,,,,,0.098317011,0.085208234,0.013108777,,,
-52_95__-0_19_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.042478223,0.039407901,0.003070322,,,
-52_95__-0_23_2018-10-14.jpg,0.0238,0.0183,0.035942257,,,,,ading m,0.017249926,#VALEUR!,,,
-52_95__-0_27_2018-10-14.jpg,0,ading m,ading m,,,,,0.06501548,0.071173691,-0.006158211,,,
-52_99__-0_07_2018-10-14.jpg,0.1667,0.0274,0.053338524,,,,,0.035942257,0.091238786,-0.055296529,,,
-52_99__-0_19_2018-10-14.jpg,0.0833,0.0261,0.050872235,,,,,ading m,0.040944265,#VALEUR!,,,
-52_99__-0_23_2018-10-14.jpg,0.2,0.0291,0.056554271,,,,,0.053338524,0.071173691,-0.017835167,,,
-53_03__0_01_2018-10-14.jpg,0.5,0.0369,0.071173691,,,,,0.050872235,0.052580331,-0.001708096,,,
-53_03__-0_15_2018-10-14.jpg,0,ading m,ading m,,,,,0.056554271,0.080429984,-0.023875713,,,
-53_03__-0_27_2018-10-14.jpg,0.0137,0.0032,0.006379585,,,,,0.071173691,0.036713458,0.034460233,,,
-53_03__-0_31_2018-10-14.jpg,0.0625,0.0181,0.035556429,,,,,ading m,0.046111762,#VALEUR!,,,
-53_07__0_01_2018-10-14.jpg,0.1345,0.0396,0.076183147,,,,,0.006379585,0.053338524,-0.046958939,,,
-53_07__-0_31_2018-10-14.jpg,0.0132,0.0027,0.005385459,,,,,0.035556429,0.056554271,-0.020997842,,,
-53_11__0_01_2018-10-14.jpg,0.5584,0.0987,0.179666879,,,,,0.076183147,0.069684393,0.006498754,,,
-53_11__-0_31_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,0.005385459,0.071173691,-0.065788232,,,
-53_15__-0_03_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.179666879,0.166147075,0.013519804,,,
-53_15__0_05_2018-10-14.jpg,0.5833,0.0573,0.108389293,,,,,0.060323926,0.080429984,-0.020106058,,,
-53_15__-0_07_2018-10-14.jpg,0.0286,0.0105,0.020781791,,,,,0.06501548,0.071173691,-0.006158211,,,
-53_15__-0_11_2018-10-14.jpg,1,0.0708,0.132237579,,,,,0.108389293,0.132237579,-0.023848286,,,
-53_15__-0_23_2018-10-14.jpg,0.1111,0.0236,0.046111762,,,,,0.020781791,0.071173691,-0.0503919,,,
-53_18__-0_05_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.132237579,0.127866704,0.004370875,,,
-53_18__-0_09_2019-09-24.jpg,0.0196,0.0067,0.013310818,,,,,0.046111762,0.053338524,-0.007226762,,,
-53_19__0_01_2018-10-14.jpg,0.125,0.0247,0.048209232,,,,,0.080429984,0.080429984,0,,,
-53_19__-0_03_2018-10-14.jpg,0.2,0.0291,0.056554271,,,,,0.013310818,0.021760633,-0.008449815,,,
-53_19__0_05_2018-10-14.jpg,0,ading m,ading m,,,,,0.048209232,0.06501548,-0.016806248,,,
-53_19__-0_07_2018-10-14.jpg,0.037,0.013,0.025666338,,,,,0.056554271,0.060323926,-0.003769655,,,
-53_19__-0_11_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,ading m,0.011928429,#VALEUR!,,,
-53_19__-0_23_2018-10-14.jpg,1,0.0419,0.080429984,,,,,0.025666338,0.014494192,0.011172146,,,
-53_19__-0_27_2018-10-14.jpg,0,ading m,ading m,,,,,0.06501548,0.071173691,-0.006158211,,,
-53_19__-0_31_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,0.080429984,0.06501548,0.015414504,,,
-53_23__-0_07_2018-10-14.jpg,0.5,0.0369,0.071173691,,,,,ading m,0.004987531,#VALEUR!,,,
-53_23__-0_19_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,0.060323926,0.060323926,0,,,
-53_23__-0_27_2018-10-14.jpg,0.1917,0.0475,0.090692124,,,,,0.071173691,0.080429984,-0.009256293,,,
-53_26__-0_05_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.060323926,0.06501548,-0.004691554,,,
-53_26__-0_09_2019-09-24.jpg,0.3167,0.052,0.098859316,,,,,0.090692124,0.09087438,-0.000182256,,,
-53_27__-0_03_2018-10-14.jpg,0.5,0.0604,0.113919276,,,,,0.080429984,0.080429984,0,,,
-53_27__0_05_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.098859316,0.111069135,-0.012209819,,,
-53_27__-0_07_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.113919276,0.111069135,0.002850141,,,
-53_3__-0_05_2019-09-24.jpg,0.1111,0.0236,0.046111762,,,,,0.06501548,0.053338524,0.011676956,,,
-53_31__-0_07_2018-10-14.jpg,0.0833,0.0261,0.050872235,,,,,0.06501548,0.080429984,-0.015414504,,,
-53_31__-0_11_2018-10-14.jpg,0.6667,0.0649,0.121889379,,,,,0.046111762,0.042478223,0.003633539,,,
-53_31__-0_15_2018-10-14.jpg,0.04,0.0138,0.027224305,,,,,0.050872235,0.048399688,0.002472547,,,
-53_38__-0_05_2019-09-24.jpg,0.3106,0.0582,0.10999811,,,,,0.121889379,0.132237579,-0.0103482,,,
-53_38__-0_13_2019-09-24.jpg,0.0114,0.0013,0.002596624,,,,,0.027224305,0.06501548,-0.037791175,,,
-53_38__-0_21_2019-09-24.jpg,0.0476,0.0155,0.030526834,,,,,0.10999811,0.132760713,-0.022762603,,,
-53_42__-0_05_2019-09-24.jpg,0.5,0.0412,0.079139454,,,,,0.002596624,ading m,#VALEUR!,,,
-53_42__-0_09_2019-09-24.jpg,0.5909,0.0581,0.109819488,,,,,0.030526834,0.044201056,-0.013674222,,,
-53_42__-0_13_2019-09-24.jpg,0.3333,0.0336,0.06501548,,,,,0.079139454,0.056554271,0.022585183,,,
-53_42__-0_21_2019-09-24.jpg,0.1111,0.0236,0.046111762,,,,,0.109819488,0.114630468,-0.00481098,,,
-53_42__-0_25_2019-09-24.jpg,0.25,0.0311,0.060323926,,,,,0.06501548,0.080429984,-0.015414504,,,
-53_7__0_44_2019-09-24.jpg,0.25,0.0311,0.060323926,,,,,0.046111762,0.042478223,0.003633539,,,
-53_74__0_28_2019-09-24.jpg,0.25,0.0311,0.060323926,,,,,0.060323926,0.050682261,0.009641665,,,
-53_74__0_44_2019-09-24.jpg,0.0625,0.0181,0.035556429,,,,,0.060323926,0.050682261,0.009641665,,,
-53_74__0_48_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.060323926,0.080429984,-0.020106058,,,
-53_78__0_32_2019-09-24.jpg,0.0343,0.0171,0.033625012,,,,,0.035556429,0.010544116,0.025012313,,,
-53_78__0_36_2019-09-24.jpg,0,ading m,ading m,,,,,0.080429984,0.080429984,0,,,
-53_78__0_44_2019-09-24.jpg,0.5,0.0369,0.071173691,,,,,0.033625012,0.049351409,-0.015726397,,,
-53_78__0_52_2019-09-24.jpg,1,0.0419,0.080429984,,,,,ading m,ading m,#VALEUR!,,,
-53_8__0_31_2019-09-24.jpg,0.1429,0.026,0.050682261,,,,,0.071173691,0.056554271,0.01461942,,,
-53_82__0_32_2019-09-24.jpg,0.0196,0.0067,0.013310818,,,,,0.080429984,0.056554271,0.023875713,,,
-53_82__0_48_2019-09-24.jpg,0.2127,0.0512,0.097412481,,,,,0.050682261,0.039407901,0.01127436,,,
-53_86__0_32_2019-09-24.jpg,0.0714,0.0194,0.038061605,,,,,0.013310818,0.050682261,-0.037371443,,,
-53_86__0_36_2019-09-24.jpg,0.0337,0.017,0.033431662,,,,,0.097412481,0.111604192,-0.014191711,,,
-53_86__0_52_2019-09-24.jpg,0.4667,0.06,0.113207547,,,,,0.038061605,0.06501548,-0.026953875,,,
-53_86__0_56_2019-09-24.jpg,0.5833,0.0573,0.108389293,,,,,0.033431662,0.06013579,-0.026704128,,,
-53_9__0_48_2019-09-24.jpg,0.0323,0.0117,0.023129386,,,,,0.113207547,0.135024245,-0.021816698,,,
-53_9__0_56_2019-09-24.jpg,0.012,0.0019,0.003792794,,,,,0.108389293,0.103726178,0.004663115,,,
-60_86__-2_98_2020-07-29.jpg,0.0476,0.0155,0.030526834,,,,,0.023129386,0.050682261,-0.027552875,,,
-60_86__-3_02_2020-07-29.jpg,0.3056,0.0503,0.095782157,,,,,0.003792794,ading m,#VALEUR!,,,
-63_23__3_57_2020-09-20.jpg,0.0667,0.0187,0.036713458,,,,,0.030526834,0.050682261,-0.020155427,,,
-63_23__3_66_2019-09-21.jpg,0.0312,0.0113,0.022347474,,,,,0.095782157,0.102466793,-0.006684636,,,
-63_27__3_58_2019-09-21.jpg,0.8333,0.0683,0.127866704,,,,,0.036713458,0.035556429,0.001157029,,,
-63_27__3_66_2019-09-21.jpg,0,ading m,ading m,,,,,0.022347474,0.038061605,-0.015714131,,,
-63_31__3_57_2018-03-15.jpg,0,ading m,ading m,,,,,0.127866704,0.127866704,0,,,
-63_31__3_57_2019-03-15.jpg,0.0208,0.0139,0.027418878,,,,,ading m,ading m,#VALEUR!,,,
-63_31__3_57_2020-09-20.jpg,0.0714,0.0248,0.048399688,,,,,ading m,0.033431662,#VALEUR!,,,
-63_31__3_62_2019-09-21.jpg,0.1422,0.0432,0.082822086,,,,,0.027418878,0.101926545,-0.074507667,,,
-63_31__3_66_2019-09-21.jpg,0.0833,0.0209,0.040944265,,,,,0.048399688,0.070056933,-0.021657245,,,
-63_59__3_705_2020-03-04.jpg,0.037,0.013,0.025666338,,,,,0.082822086,0.095419484,-0.012597398,,,
-63_59__3_705_2020-09-13.jpg,0.1101,0.0389,0.0748869,,,,,0.040944265,0.053338524,-0.012394259,,,
-63_59__3_75_2020-03-04.jpg,0.3611,0.0565,0.106956933,,,,,0.025666338,ading m,#VALEUR!,,,
-63_6__3_7_2019-02-26.jpg,0,ading m,ading m,,,,,0.0748869,0.118355443,-0.043468543,,,
-63_635__3_705_2020-03-04.jpg,0.8333,0.0683,0.127866704,,,,,0.106956933,0.086124402,0.020832531,,,
-63_635__3_705_2020-09-13.jpg,1,0.0419,0.080429984,,,,,ading m,ading m,#VALEUR!,,,
-63_635__3_705_2020-12-04.jpg,0,ading m,ading m,,,,,0.127866704,0.110712261,0.017154443,,,
-63_635__3_75_2020-12-04.jpg,0,ading m,ading m,,,,,0.080429984,0.060323926,0.020106058,,,
-63_67__2_485_2018-03-15.jpg,0,ading m,ading m,,,,,ading m,0.044392295,#VALEUR!,,,
-63_675__3_705_2020-03-04.jpg,0.1667,0.0312,0.060512025,,,,,ading m,0.021956285,#VALEUR!,,,
-63_675__3_705_2020-12-04.jpg,0,ading m,ading m,,,,,ading m,0.046111762,#VALEUR!,,,
-63_675__3_75_2020-03-04.jpg,0.25,0.0337,0.06520267,,,,,0.060512025,0.026640355,0.03387167,,,
-63_675__3_75_2020-09-13.jpg,0,ading m,ading m,,,,,ading m,0.001998002,#VALEUR!,,,
-63_675__3_75_2020-12-04.jpg,0.25,0.0311,0.060323926,,,,,0.06520267,0.107136097,-0.041933427,,,
-63_68__3_7_2019-02-26.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
