-52_19__0_62_2019-09-24.jpg,0.25,0.047,0.089780325,,mean IoU,Mean Dice
-52_19__0_66_2019-09-24.jpg,0.1879,0.0387,0.074516222,,0.03552931,0.067805231
-52_23__0_58_2019-09-24.jpg,0.5,0.037,0.071359691,,0.023758266,0.044216435
-52_23__0_66_2019-09-24.jpg,0.0465,0.0202,0.039600078,,,
-52_27__0_58_2019-09-24.jpg,0.1111,0.0236,0.046111762,,,
-52_27__0_66_2019-09-24.jpg,0.1,0.0275,0.053527981,,,
-52_27__0_7_2019-09-24.jpg,0.0227,0.0081,0.016069834,,,
-52_27__0_74_2019-09-24.jpg,0.1875,0.0804,0.148833765,,,
-52_31__0_74_2019-09-24.jpg,0.3333,0.0365,0.070429329,,,
-52_35__0_7_2019-09-24.jpg,0,ading m,ading m,,,
-52_35__0_74_2019-09-24.jpg,0.5,0.037,0.071359691,,,
-52_95__-0_11_2018-10-14.jpg,0.037,0.013,0.025666338,,,
-52_95__-0_15_2018-10-14.jpg,0,ading m,ading m,,,
-52_95__-0_19_2018-10-14.jpg,0.1667,0.0274,0.053338524,,,
-52_95__-0_23_2018-10-14.jpg,0.1667,0.0313,0.060700087,,,
-52_95__-0_27_2018-10-14.jpg,0,ading m,ading m,,,
-52_99__-0_07_2018-10-14.jpg,0.5,0.0526,0.099942998,,,
-52_99__-0_19_2018-10-14.jpg,0.0053,0.0006,0.00119928,,,
-52_99__-0_23_2018-10-14.jpg,0.0909,0.0293,0.056931895,,,
-53_03__0_01_2018-10-14.jpg,0.5,0.0369,0.071173691,,,
-53_03__-0_15_2018-10-14.jpg,1,0.0419,0.080429984,,,
-53_03__-0_27_2018-10-14.jpg,0.125,0.0265,0.051631758,,,
-53_03__-0_31_2018-10-14.jpg,0,ading m,ading m,,,
-53_07__0_01_2018-10-14.jpg,0.1238,0.0361,0.069684393,,,
-53_07__-0_31_2018-10-14.jpg,0.25,0.0311,0.060323926,,,
-53_11__0_01_2018-10-14.jpg,0.5052,0.0981,0.178672252,,,
-53_11__-0_31_2018-10-14.jpg,0.0303,0.011,0.021760633,,,
-53_15__-0_03_2018-10-14.jpg,0,ading m,ading m,,,
-53_15__0_05_2018-10-14.jpg,0.6111,0.0598,0.112851481,,,
-53_15__-0_07_2018-10-14.jpg,0.0172,0.0055,0.010939831,,,
-53_15__-0_11_2018-10-14.jpg,0.8333,0.0683,0.127866704,,,
-53_15__-0_23_2018-10-14.jpg,0.0476,0.0155,0.030526834,,,
-53_18__-0_05_2019-09-24.jpg,0.3333,0.0477,0.0910566,,,
-53_18__-0_09_2019-09-24.jpg,0.0156,0.0045,0.008959681,,,
-53_19__0_01_2018-10-14.jpg,0.25,0.0311,0.060323926,,,
-53_19__-0_03_2018-10-14.jpg,0.1667,0.0318,0.061639853,,,
-53_19__0_05_2018-10-14.jpg,0.0238,0.0087,0.017249926,,,
-53_19__-0_07_2018-10-14.jpg,0.0909,0.0238,0.046493456,,,
-53_19__-0_11_2018-10-14.jpg,1,0.0419,0.080429984,,,
-53_19__-0_23_2018-10-14.jpg,0.3333,0.0608,0.114630468,,,
-53_19__-0_27_2018-10-14.jpg,0,ading m,ading m,,,
-53_19__-0_31_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,
-53_23__-0_07_2018-10-14.jpg,1,0.0555,0.10516343,,,
-53_23__-0_19_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,
-53_23__-0_27_2018-10-14.jpg,0.1458,0.0438,0.083924123,,,
-53_26__-0_05_2019-09-24.jpg,0,ading m,ading m,,,
-53_26__-0_09_2019-09-24.jpg,0.4,0.0568,0.107494322,,,
-53_27__-0_03_2018-10-14.jpg,0.2803,0.0446,0.085391537,,,
-53_27__0_05_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,
-53_27__-0_07_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,
-53_3__-0_05_2019-09-24.jpg,0.1,0.0226,0.044201056,,,
-53_31__-0_07_2018-10-14.jpg,0.0833,0.0261,0.050872235,,,
-53_31__-0_11_2018-10-14.jpg,1,0.0757,0.140745561,,,
-53_31__-0_15_2018-10-14.jpg,0,ading m,ading m,,,
-53_38__-0_05_2019-09-24.jpg,0.1799,0.0557,0.105522402,,,
-53_38__-0_13_2019-09-24.jpg,0,ading m,ading m,,,
-53_38__-0_21_2019-09-24.jpg,0.0172,0.0055,0.010939831,,,
-53_42__-0_05_2019-09-24.jpg,0.0909,0.0178,0.034977402,,,
-53_42__-0_09_2019-09-24.jpg,1,0.0708,0.132237579,,,
-53_42__-0_13_2019-09-24.jpg,0.5,0.0369,0.071173691,,,
-53_42__-0_21_2019-09-24.jpg,0.0714,0.0194,0.038061605,,,
-53_42__-0_25_2019-09-24.jpg,1,0.0889,0.163284048,,,
-53_7__0_44_2019-09-24.jpg,0,ading m,ading m,,,
-53_74__0_28_2019-09-24.jpg,0.0714,0.0194,0.038061605,,,
-53_74__0_44_2019-09-24.jpg,0.1667,0.0293,0.056931895,,,
-53_74__0_48_2019-09-24.jpg,0.0135,0.0013,0.002596624,,,
-53_78__0_32_2019-09-24.jpg,0.1393,0.0328,0.063516654,,,
-53_78__0_36_2019-09-24.jpg,0,ading m,ading m,,,
-53_78__0_44_2019-09-24.jpg,0.3333,0.0336,0.06501548,,,
-53_78__0_52_2019-09-24.jpg,0.1,0.0266,0.051821547,,,
-53_8__0_31_2019-09-24.jpg,0.2,0.0291,0.056554271,,,
-53_82__0_32_2019-09-24.jpg,0.0182,0.006,0.011928429,,,
-53_82__0_48_2019-09-24.jpg,0.11,0.0409,0.078585839,,,
-53_86__0_32_2019-09-24.jpg,0,ading m,ading m,,,
-53_86__0_36_2019-09-24.jpg,0.0128,0.0092,0.018232263,,,
-53_86__0_52_2019-09-24.jpg,0.1181,0.0299,0.05806389,,,
-53_86__0_56_2019-09-24.jpg,0.094,0.0268,0.052201013,,,
