-52_19__0_62_2019-09-24.jpg,0.5,0.0369,0.071173691,,mean IoU,mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-52_19__0_66_2019-09-24.jpg,0.0292,0.0138,0.027224305,,0.031260169,0.060041747,,Set 1,Set 2,Set 1 - Set 2,+,-,pvalue
-52_23__0_58_2019-09-24.jpg,0.25,0.0337,0.06520267,,0.020152208,0.03790394,,0.071173691,0.089780325,-0.018606634,8,22,0.001663446
-52_23__0_66_2019-09-24.jpg,0.0132,0.0095,0.018821199,,,,,0.027224305,0.074516222,-0.047291917,,,
-52_27__0_58_2019-09-24.jpg,0.0141,0.0035,0.006975585,,,,,0.06520267,0.071359691,-0.006157021,,,
-52_27__0_66_2019-09-24.jpg,0.1667,0.0274,0.053338524,,,,,0.018821199,0.039600078,-0.020778879,,,
-52_27__0_7_2019-09-24.jpg,0.0385,0.0134,0.026445629,,,,,0.006975585,0.046111762,-0.039136177,,,
-52_27__0_74_2019-09-24.jpg,0.1,0.0275,0.053527981,,,,,0.053338524,0.053527981,-0.000189457,,,
-52_31__0_74_2019-09-24.jpg,0.3333,0.0336,0.06501548,,,,,0.026445629,0.016069834,0.010375795,,,
-52_35__0_7_2019-09-24.jpg,0.0147,0.0039,0.007769698,,,,,0.053527981,0.148833765,-0.095305784,,,
-52_35__0_74_2019-09-24.jpg,0.3409,0.0547,0.103726178,,,,,0.06501548,0.070429329,-0.005413849,,,
-52_95__-0_11_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,0.007769698,ading m,#VALEUR!,,,
-52_95__-0_15_2018-10-14.jpg,0,ading m,ading m,,,,,0.103726178,0.071359691,0.032366487,,,
-52_95__-0_19_2018-10-14.jpg,0.0323,0.0117,0.023129386,,,,,0.060323926,0.025666338,0.034657588,,,
-52_95__-0_23_2018-10-14.jpg,0.0476,0.0238,0.046493456,,,,,ading m,ading m,#VALEUR!,,,
-52_95__-0_27_2018-10-14.jpg,0.0345,0.0123,0.024301097,,,,,0.023129386,0.053338524,-0.030209138,,,
-52_99__-0_07_2018-10-14.jpg,1,0.0419,0.080429984,,,,,0.046493456,0.060700087,-0.014206631,,,
-52_99__-0_19_2018-10-14.jpg,0,ading m,ading m,,,,,0.024301097,ading m,#VALEUR!,,,
-52_99__-0_23_2018-10-14.jpg,0.0833,0.0209,0.040944265,,,,,0.080429984,0.099942998,-0.019513014,,,
-53_03__0_01_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,ading m,0.00119928,#VALEUR!,,,
-53_03__-0_15_2018-10-14.jpg,0,ading m,ading m,,,,,0.040944265,0.056931895,-0.01598763,,,
-53_03__-0_27_2018-10-14.jpg,0.0357,0.0127,0.025081465,,,,,0.060323926,0.071173691,-0.010849765,,,
-53_03__-0_31_2018-10-14.jpg,0.027,0.0099,0.019605902,,,,,ading m,0.080429984,#VALEUR!,,,
-53_07__0_01_2018-10-14.jpg,0.1161,0.0323,0.062578708,,,,,0.025081465,0.051631758,-0.026550293,,,
-53_07__-0_31_2018-10-14.jpg,0.125,0.0247,0.048209232,,,,,0.019605902,ading m,#VALEUR!,,,
-53_11__0_01_2018-10-14.jpg,0.3867,0.09,0.165137615,,,,,0.062578708,0.069684393,-0.007105685,,,
-53_11__-0_31_2018-10-14.jpg,0.2,0.0291,0.056554271,,,,,0.048209232,0.060323926,-0.012114694,,,
-53_15__-0_03_2018-10-14.jpg,0.0116,0.0015,0.002995507,,,,,0.165137615,0.178672252,-0.013534637,,,
-53_15__0_05_2018-10-14.jpg,0.2667,0.0531,0.100845124,,,,,0.056554271,0.021760633,0.034793638,,,
-53_15__-0_07_2018-10-14.jpg,0,ading m,ading m,,,,,0.002995507,ading m,#VALEUR!,,,
-53_15__-0_11_2018-10-14.jpg,0.4,0.0588,0.111069135,,,,,0.100845124,0.112851481,-0.012006357,,,
-53_15__-0_23_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,ading m,0.010939831,#VALEUR!,,,
-53_18__-0_05_2019-09-24.jpg,1,0.0419,0.080429984,,,,,0.111069135,0.127866704,-0.016797569,,,
-53_18__-0_09_2019-09-24.jpg,0.1429,0.026,0.050682261,,,,,0.06501548,0.030526834,0.034488646,,,
-53_19__0_01_2018-10-14.jpg,0.0909,0.0217,0.042478223,,,,,0.080429984,0.0910566,-0.010626616,,,
-53_19__-0_03_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.050682261,0.008959681,0.04172258,,,
-53_19__0_05_2018-10-14.jpg,0.027,0.0099,0.019605902,,,,,0.042478223,0.060323926,-0.017845703,,,
-53_19__-0_07_2018-10-14.jpg,0.0588,0.0175,0.034398034,,,,,0.06501548,0.061639853,0.003375627,,,
-53_19__-0_11_2018-10-14.jpg,0.25,0.0311,0.060323926,,,,,0.019605902,0.017249926,0.002355976,,,
-53_19__-0_23_2018-10-14.jpg,0.1429,0.026,0.050682261,,,,,0.034398034,0.046493456,-0.012095422,,,
-53_19__-0_27_2018-10-14.jpg,0,ading m,ading m,,,,,0.060323926,0.080429984,-0.020106058,,,
-53_19__-0_31_2018-10-14.jpg,0.5,0.0369,0.071173691,,,,,0.050682261,0.114630468,-0.063948207,,,
-53_23__-0_07_2018-10-14.jpg,1,0.0419,0.080429984,,,,,ading m,ading m,#VALEUR!,,,
-53_23__-0_19_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.071173691,0.06501548,0.006158211,,,
-53_23__-0_27_2018-10-14.jpg,0.1429,0.0407,0.078216585,,,,,0.080429984,0.10516343,-0.024733446,,,
-53_26__-0_05_2019-09-24.jpg,0,ading m,ading m,,,,,0.06501548,0.06501548,-1.23839E-10,,,
-53_26__-0_09_2019-09-24.jpg,0.2,0.0456,0.087222647,,,,,0.078216585,0.083924123,-0.005707538,,,
-53_27__-0_03_2018-10-14.jpg,0.125,0.0292,0.056743101,,,,,ading m,ading m,#VALEUR!,,,
-53_27__0_05_2018-10-14.jpg,0.2,0.0291,0.056554271,,,,,0.087222647,0.107494322,-0.020271675,,,
-53_27__-0_07_2018-10-14.jpg,0.3333,0.0336,0.06501548,,,,,0.056743101,0.085391537,-0.028648436,,,
-53_3__-0_05_2019-09-24.jpg,0.3333,0.0336,0.06501548,,,,,0.056554271,0.06501548,-0.008461209,,,
-53_31__-0_07_2018-10-14.jpg,0.125,0.0292,0.056743101,,,,,0.06501548,0.06501548,-1.23839E-10,,,
-53_31__-0_11_2018-10-14.jpg,0.4167,0.0598,0.112851481,,,,,0.06501548,0.044201056,0.020814424,,,
