-56_2__-2_54_2020-09-06.jpg,0.2,0.0291,0.056554271,,mean IoU,Mean Dice,,ilegalTrue vs ilegalAgri,,,,,
-56_24__-2_5_2020-09-06.jpg,0.25,0.0311,0.060323926,,0.045258333,0.085457768,,Set 1,Set 2,Set 1 - Set 2,+,-,pvalue
-59_16__2_19_2020-09-12.jpg,0.1667,0.0274,0.053338524,,0.026975607,0.049009762,,0.056554271,0.071173691,-0.01461942,23,11,0.001663446
-59_16__2_23_2020-09-12.jpg,0.4286,0.0577,0.109104661,,,,,0.060323926,0.06501548,-0.004691554,,,
-59_2__2_15_2020-09-12.jpg,1,0.0516,0.098136173,,,,,0.053338524,0.080429984,-0.02709146,,,
-59_2__2_19_2020-09-12.jpg,0,ading m,ading m,,,,,0.109104661,0.102826788,0.006277873,,,
-63_36__-10_0_2018-07-25.jpg,0.0286,0.0105,0.020781791,,,,,0.098136173,0.08630753,0.011828643,,,
-63_36__-10_04_2018-07-25.jpg,0.1447,0.0425,0.081534772,,,,,ading m,ading m,#VALEUR!,,,
-63_36__-10_08_2018-07-25.jpg,0,ading m,ading m,,,,,0.020781791,0.019017433,0.001764358,,,
-63_36__-9_88_2018-07-25.jpg,0.4625,0.1123,0.201923941,,,,,0.081534772,0.07840123,0.003133542,,,
-63_36__-9_92_2018-07-25.jpg,0.25,0.0311,0.060323926,,,,,ading m,ading m,#VALEUR!,,,
-63_36__-9_96_2018-07-25.jpg,0.3611,0.0565,0.106956933,,,,,0.201923941,0.169336384,0.032587557,,,
-63_4__-10_0_2018-07-25.jpg,0.3495,0.0637,0.119770612,,,,,0.060323926,0.014888337,0.045435589,,,
-63_4__-10_04_2018-07-25.jpg,0.01,0.0068,0.013508145,,,,,0.106956933,0.102646808,0.004310125,,,
-63_4__-10_08_2018-07-25.jpg,0.2309,0.085,0.156682028,,,,,0.119770612,0.084658111,0.035112501,,,
-63_4__-9_92_2018-07-25.jpg,0.1944,0.0522,0.09922068,,,,,0.013508145,0.013102681,0.000405464,,,
-63_4__-9_96_2018-07-25.jpg,0.5244,0.0458,0.087588449,,,,,0.156682028,0.15225425,0.004427778,,,
-63_44__-10_0_2018-07-25.jpg,0.2667,0.0531,0.100845124,,,,,0.09922068,0.107315227,-0.008094547,,,
-63_44__-10_04_2018-07-25.jpg,0.2944,0.0637,0.119770612,,,,,0.087588449,0.071359691,0.016228758,,,
-63_44__-10_08_2018-07-25.jpg,0.4046,0.1,0.181818182,,,,,0.100845124,0.098859316,0.001985808,,,
-63_44__-9_92_2018-07-25.jpg,0.0852,0.0319,0.061827696,,,,,0.119770612,0.090145149,0.029625463,,,
-63_44__-9_96_2018-07-25.jpg,0.25,0.0311,0.060323926,,,,,0.181818182,0.173182316,0.008635866,,,
-63_48__-10_0_2018-07-25.jpg,0.5,0.0369,0.071173691,,,,,0.061827696,0.08630753,-0.024479834,,,
-63_48__-10_04_2018-07-25.jpg,0.75,0.0663,0.124355247,,,,,0.060323926,0.06501548,-0.004691554,,,
-63_48__-9_88_2018-07-25.jpg,0.1909,0.0486,0.092695022,,,,,0.071173691,0.080429984,-0.009256293,,,
-63_48__-9_92_2018-07-25.jpg,0.1429,0.0437,0.083740538,,,,,0.124355247,0.090327509,0.034027738,,,
-63_48__-9_96_2018-07-25.jpg,0.1429,0.026,0.050682261,,,,,0.092695022,0.092176895,0.000518127,,,
-63_52__-10_0_2018-07-25.jpg,0.2607,0.0641,0.120477399,,,,,0.083740538,0.074145402,0.009595136,,,
-63_52__-10_08_2018-07-25.jpg,0.7075,0.0938,0.171512159,,,,,0.050682261,0.060323926,-0.009641665,,,
-63_52__-9_96_2018-07-25.jpg,0.0208,0.0115,0.022738507,,,,,0.120477399,0.098317011,0.022160388,,,
-63_56__-10_0_2018-07-25.jpg,0.5,0.0604,0.113919276,,,,,0.171512159,0.141091179,0.03042098,,,
-63_56__-10_04_2018-07-25.jpg,0.1769,0.0683,0.127866704,,,,,0.022738507,0.003992016,0.018746491,,,
-63_56__-10_08_2018-07-25.jpg,0.1111,0.0236,0.046111762,,,,,0.113919276,0.113919276,0,,,
-63_6__-10_0_2018-07-25.jpg,0.125,0.0247,0.048209232,,,,,0.127866704,0.071731585,0.056135119,,,
-63_6__-10_04_2018-07-25.jpg,0.0385,0.0134,0.026445629,,,,,0.046111762,0.053338524,-0.007226762,,,
-63_6__-10_08_2018-07-25.jpg,0.5,0.0369,0.071173691,,,,,0.048209232,0.035556429,0.012652803,,,
-63_6__-9_88_2018-07-25.jpg,0.0833,0.0209,0.040944265,,,,,0.026445629,0.009950249,0.01649538,,,
-63_6__-9_96_2018-07-25.jpg,0.0204,0.0071,0.014099891,,,,,0.071173691,0.071173691,0,,,
,,,,,,,,0.040944265,0.050682261,-0.009737996,,,
,,,,,,,,0.014099891,0.06501548,-0.050915589,,,
