-56_2__-2_54_2020-09-06.jpg,1,0.0419,0.080429984,,mean IoU,Mean Dice
-56_24__-2_5_2020-09-06.jpg,1,0.0419,0.080429984,,0.037785294,0.071801901
-59_16__2_19_2020-09-12.jpg,0.5,0.0369,0.071173691,,0.025548111,0.04700411
-59_16__2_23_2020-09-12.jpg,0.1389,0.0473,0.090327509,,,
-59_2__2_15_2020-09-12.jpg,1,0.0419,0.080429984,,,
-59_2__2_19_2020-09-12.jpg,0,ading m,ading m,,,
-63_36__-10_0_2018-07-25.jpg,0.1667,0.0274,0.053338524,,,
-63_36__-10_04_2018-07-25.jpg,0.0549,0.0248,0.048399688,,,
-63_36__-10_08_2018-07-25.jpg,0.3333,0.0336,0.06501548,,,
-63_36__-9_88_2018-07-25.jpg,0.667,0.1144,0.205312276,,,
-63_36__-9_92_2018-07-25.jpg,0,ading m,ading m,,,
-63_36__-9_96_2018-07-25.jpg,0.2857,0.051,0.097050428,,,
-63_4__-10_0_2018-07-25.jpg,0.1756,0.0342,0.066138078,,,
-63_4__-10_04_2018-07-25.jpg,0.0061,0.002,0.003992016,,,
-63_4__-10_08_2018-07-25.jpg,0.201,0.0884,0.162440279,,,
-63_4__-9_92_2018-07-25.jpg,0.0329,0.0198,0.038831143,,,
-63_4__-9_96_2018-07-25.jpg,0.5,0.037,0.071359691,,,
-63_44__-10_0_2018-07-25.jpg,0.1909,0.0486,0.092695022,,,
-63_44__-10_04_2018-07-25.jpg,0.036,0.0206,0.040368411,,,
-63_44__-10_08_2018-07-25.jpg,0.1717,0.0739,0.137629202,,,
-63_44__-9_92_2018-07-25.jpg,0.0462,0.0194,0.038061605,,,
-63_44__-9_96_2018-07-25.jpg,0.5,0.0369,0.071173691,,,
-63_48__-10_0_2018-07-25.jpg,0.5,0.0369,0.071173691,,,
-63_48__-10_04_2018-07-25.jpg,0.5,0.0604,0.113919276,,,
-63_48__-9_88_2018-07-25.jpg,0.0056,0.0012,0.002397123,,,
-63_48__-9_92_2018-07-25.jpg,0.0927,0.0323,0.062578708,,,
-63_48__-9_96_2018-07-25.jpg,0.5,0.0369,0.071173691,,,
-63_52__-10_0_2018-07-25.jpg,0.1498,0.0542,0.102826788,,,
-63_52__-10_08_2018-07-25.jpg,0.3574,0.0633,0.119063294,,,
-63_52__-9_96_2018-07-25.jpg,0.0042,0.0023,0.004589444,,,
-63_56__-10_0_2018-07-25.jpg,0.5159,0.0417,0.080061438,,,
-63_56__-10_04_2018-07-25.jpg,0.125,0.0546,0.103546368,,,
-63_56__-10_08_2018-07-25.jpg,0.0588,0.0175,0.034398034,,,
-63_6__-10_0_2018-07-25.jpg,0.0108,0.0008,0.001598721,,,
-63_6__-10_04_2018-07-25.jpg,0,ading m,ading m,,,
-63_6__-10_08_2018-07-25.jpg,0.0263,0.0096,0.019017433,,,
-63_6__-9_88_2018-07-25.jpg,0,ading m,ading m,,,
-63_6__-9_96_2018-07-25.jpg,0.25,0.0311,0.060323926,,,
