-56_2__-2_54_2020-09-06.jpg,1,0.0419,0.080429984,,mean IoU,mean Dice,,legalTrue vs legalAgri,,,,,
-56_24__-2_5_2020-09-06.jpg,0.25,0.0311,0.060323926,,0.035215625,0.067415905,,Set 1,Set 2,Set 1 - Set 2,+,-,pvalue
-59_16__2_19_2020-09-12.jpg,1,0.0419,0.080429984,,0.021365475,0.040061719,,0.080429984,0.080429984,-3.16345E-10,12,20,0.001663446
-59_16__2_23_2020-09-12.jpg,0.2407,0.0533,0.101205734,,,,,0.060323926,0.080429984,-0.020106058,,,
-59_2__2_15_2020-09-12.jpg,1,0.0419,0.080429984,,,,,0.080429984,0.071173691,0.009256293,,,
-59_2__2_19_2020-09-12.jpg,0,ading m,ading m,,,,,0.101205734,0.090327509,0.010878225,,,
-63_36__-10_0_2018-07-25.jpg,0.2,0.0291,0.056554271,,,,,0.080429984,0.080429984,-3.16345E-10,,,
-63_36__-10_04_2018-07-25.jpg,0.0159,0.0148,0.029168309,,,,,ading m,ading m,ading m,,,
-63_36__-10_08_2018-07-25.jpg,0.0345,0.0123,0.024301097,,,,,0.056554271,0.053338524,0.003215747,,,
-63_36__-9_88_2018-07-25.jpg,0.1231,0.0626,0.117824205,,,,,0.029168309,0.048399688,-0.019231379,,,
-63_36__-9_92_2018-07-25.jpg,0,ading m,ading m,,,,,0.024301097,0.06501548,-0.040714383,,,
-63_36__-9_96_2018-07-25.jpg,0.1,0.0322,0.062391009,,,,,0.117824205,0.205312276,-0.087488071,,,
-63_4__-10_0_2018-07-25.jpg,0.0115,0.0118,0.023324768,,,,,ading m,ading m,#VALEUR!,,,
-63_4__-10_04_2018-07-25.jpg,0.0263,0.016,0.031496063,,,,,0.062391009,0.097050428,-0.034659419,,,
-63_4__-10_08_2018-07-25.jpg,0.2042,0.0659,0.123651374,,,,,0.023324768,0.066138078,-0.04281331,,,
-63_4__-9_92_2018-07-25.jpg,0.3333,0.0338,0.065389824,,,,,0.031496063,0.003992016,0.027504047,,,
-63_4__-9_96_2018-07-25.jpg,0.5,0.037,0.071359691,,,,,0.123651374,0.162440279,-0.038788905,,,
-63_44__-10_0_2018-07-25.jpg,0.1714,0.0464,0.088685015,,,,,0.065389824,0.038831143,0.026558681,,,
-63_44__-10_04_2018-07-25.jpg,0.0175,0.0157,0.03091464,,,,,0.071359691,0.071359691,4.17551E-10,,,
-63_44__-10_08_2018-07-25.jpg,0.2036,0.0726,0.135371993,,,,,0.088685015,0.092695022,-0.004010007,,,
-63_44__-9_92_2018-07-25.jpg,0.0308,0.014,0.027613412,,,,,0.03091464,0.040368411,-0.009453771,,,
-63_44__-9_96_2018-07-25.jpg,1,0.0419,0.080429984,,,,,0.135371993,0.137629202,-0.002257209,,,
-63_48__-10_0_2018-07-25.jpg,1,0.0419,0.080429984,,,,,0.027613412,0.038061605,-0.010448193,,,
-63_48__-10_04_2018-07-25.jpg,0.1467,0.0369,0.071173691,,,,,0.080429984,0.071173691,0.009256293,,,
-63_48__-9_88_2018-07-25.jpg,0.0125,0.009,0.017839445,,,,,0.080429984,0.071173691,0.009256293,,,
-63_48__-9_92_2018-07-25.jpg,0.1104,0.0359,0.06931171,,,,,0.071173691,0.113919276,-0.042745585,,,
-63_48__-9_96_2018-07-25.jpg,0.5,0.0369,0.071173691,,,,,0.017839445,0.002397123,0.015442322,,,
-63_52__-10_0_2018-07-25.jpg,0.2159,0.0495,0.094330634,,,,,0.06931171,0.062578708,0.006733002,,,
-63_52__-10_08_2018-07-25.jpg,0.3512,0.0826,0.152595603,,,,,0.071173691,0.071173691,-1.90857E-10,,,
-63_52__-9_96_2018-07-25.jpg,0.0034,0.0002,0.00039992,,,,,0.094330634,0.102826788,-0.008496154,,,
-63_56__-10_0_2018-07-25.jpg,0.25,0.0337,0.06520267,,,,,0.152595603,0.119063294,0.033532309,,,
-63_56__-10_04_2018-07-25.jpg,0.125,0.0294,0.057120653,,,,,0.00039992,0.004589444,-0.004189524,,,
-63_56__-10_08_2018-07-25.jpg,0,ading m,ading m,,,,,0.06520267,0.080061438,-0.014858768,,,
-63_6__-10_0_2018-07-25.jpg,0,ading m,ading m,,,,,0.057120653,0.103546368,-0.046425715,,,
-63_6__-10_04_2018-07-25.jpg,0,ading m,ading m,,,,,ading m,0.034398034,#VALEUR!,,,
-63_6__-10_08_2018-07-25.jpg,0.25,0.0311,0.060323926,,,,,ading m,0.001598721,#VALEUR!,,,
-63_6__-9_88_2018-07-25.jpg,0,ading m,ading m,,,,,ading m,ading m,#VALEUR!,,,
-63_6__-9_96_2018-07-25.jpg,0.1111,0.0236,0.046111762,,,,,0.060323926,0.019017433,0.041306493,,,
,,,,,,,,ading m,ading m,#VALEUR!,,,
,,,,,,,,0.046111762,0.060323926,-0.014212164,,,
