img,class1 IoU, class2 IoU, class3 IoU, m1, m2, m3 ,p1, p2, p3,,mean c2,mean c3,nb false detection,set1 - set 2 c2,set 1 - set 2 c3,,img,class1 IoU, class2 IoU, class3 IoU, m1, m2, m3 ,p1, p2, p3,,mean c2,mean c3,nb of false detection
0,0.926174811,0.228955126,0,59555,5470,0,63030,1968,27,,0.126241918,0.289066785,1,-0.027764724,,,0,0.920430243,0.256719851,0,59555,5470,0,61628,3192,205,,0.151164577,0.219894662,1
1,0.993345239,0,0,64783,242,0,64796,6,223,,0.153119828,0.182316291,1,-0.15212528,,,1,0.992086045,0.15212528,0,64783,242,0,64585,273,167,,0.137887221,0.203319473,1
2,0.927358725,0,0.535832987,56341,0,8684,58873,152,6000,,,,1,,0.048766251,,2,0.900662915,0,0.487066736,56341,0,8684,56599,0,8426,,,,0
3,0.965750685,0.040742088,0,62306,2719,0,64454,123,448,,,,1,-0.252028602,,,3,0.966553735,0.29277069,0,62306,2719,0,63816,1209,0,,,,0
4,0.982559035,0.336262449,0,64165,860,0,63604,1421,0,,,,0,0.199588189,,,4,0.988412621,0.13667426,0,64165,860,0,64887,138,0,,,,0
5,0.994293213,0,0,64651,374,0,65025,0,0,,,,0,-0.494145199,,,5,0.996586299,0.494145199,0,64651,374,0,64754,264,7,,,,1
6,0.997097907,0.2578125,0,64922,103,0,64806,219,0,,,,0,0.152549342,,,6,0.995587921,0.105263158,0,64922,103,0,64771,254,0,,,,0
7,0.985142,0.127111111,0,64116,909,0,64595,359,71,,,,1,0.018255023,,,7,0.984790119,0.108856089,0,64116,909,0,64715,281,29,,,,1
8,0.981607088,0.059375,0,63745,1280,0,64949,76,0,,,,0,-0.133524408,,,8,0.979082963,0.192899408,0,63745,1280,0,64289,736,0,,,,0
9,0.99899292,0,0,64959,66,0,65025,0,0,,,,0,0,,,9,0.99899292,0,0,64959,66,0,65025,0,0,,,,0
10,0.98487854,0,0,64261,764,0,64803,222,0,,,,0,-0.074494949,,,10,0.990423742,0.074494949,0,64261,764,0,64831,87,107,,,,1
11,0.978866577,0,0,63640,1385,0,65025,0,0,,,,0,-0.156806842,,,11,0.981888052,0.156806842,0,63640,1385,0,64787,238,0,,,,0
12,0.976801723,0.036167513,0,63587,1438,0,64841,184,0,,,,0,0.036167513,,,12,0.972290039,0,0,63587,1438,0,64658,367,0,,,,0
13,0.988301493,0,0.174069628,64218,0,807,64441,413,171,,,,1,,0.174069628,,13,0.986846924,0,0,64218,0,807,64970,0,55,,,,0
14,0.993377686,0,0,64591,434,0,65025,0,0,,,,0,-0.046908316,,,14,0.993177031,0.046908316,0,64591,434,0,64968,57,0,,,,0
15,0.954017188,0.045093681,0,61921,3104,0,64838,187,0,,,,0,-0.294046854,,,15,0.939483847,0.339140534,0,61921,3104,0,60606,3814,605,,,,1
16,0.972610887,0,0.412206855,62125,0,2900,62945,326,1754,,,,1,,0.012108309,,16,0.958630617,0,0.400098546,62125,0,2900,62097,209,2719,,,,1
17,0.96762085,0,0,62986,0,2039,64942,83,0,,,,1,,-0.004873294,,17,0.967676953,0,0.004873294,62986,0,2039,64926,76,23,,,,1
18,0.983343257,0.032801418,0,64000,1025,0,64885,140,0,,,,0,0.029182601,,,18,0.974790172,0.003618818,0,64000,1025,0,64444,581,0,,,,0
19,0.965254773,0,0.225657427,62624,0,2401,63909,76,1040,,,,1,,0.003936512,,19,0.962759067,0,0.221720915,62624,0,2401,63643,0,1382,,,,0
20,0.971097817,0.375328947,0,62827,2198,0,63001,1983,41,,,,1,-0.029029406,,,20,0.964129253,0.404358354,0,62827,2198,0,62604,1282,1139,,,,1
21,0.975524902,0,0,64303,722,0,64143,882,0,,,,0,-0.120305981,,,21,0.980401756,0.120305981,0,64303,722,0,64120,889,16,,,,1
22,0.994902553,0.037463977,0,64683,342,0,65007,18,0,,,,0,-0.194536023,,,22,0.99118754,0.232,0,64683,342,0,64459,566,0,,,,0
23,0.998946211,0.456692913,0,64936,89,0,64930,95,0,,,,0,0.299389543,,,23,0.998855346,0.157303371,0,64936,89,0,65011,14,0,,,,0
24,0.996261426,0.012096774,0,64824,201,0,64975,50,0,,,,0,0.012096774,,,24,0.990444645,0,0,64824,201,0,64554,420,51,,,,1
25,0.966588094,0.510254677,0,60899,4126,0,62412,2552,61,,,,1,0.019608833,,,25,0.94948574,0.490645844,0,60899,4126,0,59985,5008,32,,,,1
26,0.990185871,0.257242178,0,64653,372,0,64312,713,0,,,,0,0.257242178,,,26,0.99432373,0,0,64653,372,0,65025,0,0,,,,0
27,0.998886108,0,0,64952,73,0,65025,0,0,,,,0,0,,,27,0.99822998,0,0,64952,73,0,64982,43,0,,,,0
28,0.914892943,0,0.252864418,59299,0,5726,60610,2285,2130,,,,1,,-0.230678661,,28,0.939561067,0,0.483543078,59299,0,5726,58562,3011,3452,,,,1
29,0.977247684,0.054828151,0,62723,2302,0,63665,266,1094,,,,1,-0.319512085,,,29,0.97503637,0.374340235,0,62723,2302,0,63886,1067,72,,,,1
30,0.993041992,0,0,64582,443,0,65012,13,0,,,,0,-0.034161491,,,30,0.990505846,0.034161491,0,64582,443,0,64802,223,0,,,,0
31,0.991576266,0,0.445979899,64411,0,614,64388,124,513,,,,1,,0.445979899,,31,0.989868164,0,0,64411,0,614,64985,0,40,,,,0
32,0.995162964,0,0,64708,317,0,65025,0,0,,,,0,-0.052469136,,,32,0.995314336,0.052469136,0,64708,317,0,65001,24,0,,,,0
33,0.97944577,0.09919571,0,63733,1292,0,64682,343,0,,,,0,-0.255152116,,,33,0.986302212,0.354347826,0,63733,1292,0,64453,572,0,,,,0
34,0.922095583,0.454996371,0,58776,6249,0,58954,5750,321,,,,1,0.192235259,,,34,0.932691247,0.262761112,0,58776,6249,0,62838,1763,424,,,,1
35,0.840190607,0.22382199,0,52514,12511,0,61648,3280,97,,,,1,-0.056936319,,,35,0.849993492,0.280758308,0,52514,12511,0,60273,4075,677,,,,1
36,0.990257757,0.069970845,0,64342,683,0,64974,51,0,,,,0,-0.131965531,,,36,0.991176021,0.201936376,0,64342,683,0,64839,186,0,,,,0
37,0.988932431,0.252617801,0,64404,621,0,64503,336,186,,,,1,0.241254165,,,37,0.989057946,0.011363636,0,64404,621,0,64911,91,23,,,,1
38,0.951010604,0,0.211235489,60306,0,4719,62130,1771,1124,,,,1,,-0.025820032,,38,0.962233221,0,0.237055521,60306,0,4719,61965,1830,1230,,,,1
39,0.996512375,0.415384615,0,64783,242,0,64715,310,0,,,,0,0.239946019,,,39,0.994974491,0.175438596,0,64783,242,0,64798,227,0,,,,0
40,0.998458862,0,0,64945,80,0,65004,21,0,,,,0,-0.075,,,40,0.998870746,0.075,0,64945,80,0,65019,6,0,,,,0
41,0.957607052,0.010884831,0,62203,2822,0,64927,48,50,,,,1,0.010884831,,,41,0.956802368,0,0,62203,2822,0,65025,0,0,,,,0
42,0.957001312,0.45749645,0,60664,4361,0,62167,2811,47,,,,1,0.181641442,,,42,0.924677389,0.275855007,0,60664,4361,0,61880,1857,1288,,,,1
43,0.785354614,0,0,51031,0,13994,64973,28,24,,,,1,,0,,43,0.785490741,0,0,51031,0,13994,64923,102,0,,,,1
44,0.991363525,0,0,64490,535,0,65000,0,25,,,,1,-0.15529179,,,44,0.985912908,0.15529179,0,64490,535,0,64333,625,67,,,,1
45,0.99250115,0,0.376870748,64406,0,619,64510,129,386,,,,1,,0.283753339,,45,0.989735286,0,0.093117409,64406,0,619,64841,0,184,,,,0
46,0.923747649,0.192733278,0,59164,5861,0,63586,1361,78,,,,1,-0.129436302,,,46,0.939728891,0.32216958,0,59164,5861,0,62304,2232,489,,,,1
47,0.961901556,0.067066317,0,62399,2626,0,64804,221,0,,,,0,-0.3066868,,,47,0.9687738,0.373753117,0,62399,2626,0,63244,1781,0,,,,0
48,0.996779413,0.086580087,0,64818,207,0,64981,44,0,,,,0,-0.064531025,,,48,0.997084059,0.151111111,0,64818,207,0,64973,52,0,,,,0
49,0.958710696,0.248269636,0,62119,2906,0,63378,1242,405,,,,1,0.170661128,,,49,0.954236373,0.077608508,0,62119,2906,0,63612,832,581,,,,1
50,0.990731268,0.024577573,0,64393,632,0,64974,17,34,,,,1,-0.089447513,,,50,0.988125802,0.114025086,0,64393,632,0,64698,327,0,,,,0
51,0.991958047,0.027722772,0,64535,490,0,64731,29,265,,,,1,-0.046214381,,,51,0.974363675,0.073937153,0,64535,490,0,63679,666,680,,,,1
52,0.982635498,0,0,63893,1132,0,65025,0,0,,,,0,0,,,52,0.982635498,0,0,63893,1132,0,65025,0,0,,,,0
53,0.996626109,0.12992126,0,64808,217,0,64994,31,0,,,,0,0.047244094,,,53,0.996443563,0.082677165,0,64808,217,0,65009,16,0,,,,0
54,0.988801878,0,0.545017182,63763,0,1262,64003,62,960,,,,1,,0.053651405,,54,0.984952862,0,0.491365777,63763,0,1262,63474,0,1551,,,,0
55,0.994482569,0.217948718,0,64558,467,0,64917,103,5,,,,1,0.217948718,,,55,0.991531372,0,0,64558,467,0,64937,88,0,,,,0
56,0.981953096,0.032742156,0,64293,732,0,64495,25,505,,,,1,-0.141457468,,,56,0.986580159,0.174199623,0,64293,732,0,64510,515,0,,,,0
57,0.999008179,0,0,64960,65,0,65025,0,0,,,,0,0,,,57,0.999008179,0,0,64960,65,0,65025,0,0,,,,0
58,0.988983154,0,0,64309,716,0,65025,0,0,,,,0,-0.003363229,,,58,0.986434316,0.003363229,0,64309,716,0,64852,173,0,,,,0
59,0.979628639,0.070432357,0,63769,1256,0,64746,279,0,,,,0,0.070432357,,,59,0.966018677,0,0,63769,1256,0,64059,966,0,,,,0
60,0.959191957,0.361504641,0,61334,3691,0,63142,1883,0,,,,0,0.19488083,,,60,0.953928826,0.166623811,0,61334,3691,0,63817,846,362,,,,1
,,,,,,,,,,,,,30,p : 0.0325,p : 0.1133,,,,,,,,,,,,,,,25
,,0.372601279,0,,,,,,,,0.194863895,0.415322854,,,,,,,0.408555416,0,,,,,,,,0.239133152,0.314883205,
