image;loss;accuracy;iou;dice;tp;tn;;;
./data/test/image/-73_82__-3_91_2019-09-03.jpg;0.025231125;0;0.852581263;0.920426786;1;1;;0.697428015;0.887509539
./data/test/image/-53_03__-0_15_2018-10-14.jpg;0.00256736;0;0.739284992;0.850157976;1;1;;;
./data/test/image/-53_15__-0_11_2018-10-14.jpg;0.008569352;0;0.874686956;0.933158457;1;1;;;
./data/test/image/-70_86__-3_47_2021-01-17.jpg;0.002394398;0;0.799285412;0.888480127;1;1;;;
./data/test/image/-53_27__0_01_2018-10-14.jpg;0.002043996;0;0.750842869;0.857754707;1;1;;;
./data/test/image/-53_7__0_4_2019-09-24.jpg;0.000919204;0;0.578619182;0.733562112;1;1;;;
./data/test/image/-53_03__-0_23_2018-10-14.jpg;0.00327963;0;0.843954265;0.915388107;1;1;;;
./data/test/image/-53_78__0_36_2019-09-24.jpg;0.004484719;0;0.837081909;0.911327899;1;1;;;
./data/test/image/-53_38__-0_17_2019-09-24.jpg;2.50E-05;0;0.00771446;0.310919762;1;1;;;
./data/test/image/-71_56__-3_52_2021-01-17.jpg;0.001374335;0;0.92653358;0.961872637;1;1;;;
./data/test/image/-53_42__-0_13_2019-09-24.jpg;0.001149552;0;0.830239713;0.907294035;1;1;;;
./data/test/image/-53_78__0_44_2019-09-24.jpg;0.00138356;0;0.606636345;0.755449235;1;1;;;
./data/test/image/-53_78__0_32_2019-09-24.jpg;7.05E-08;0;1.32E-05;0.997273862;1;1;;;
./data/test/image/-71_02__-3_55_2021-01-17.jpg;0.006680918;0.000556946;0.908210516;0.951899767;1;1;;;
./data/test/image/-53_9__0_56_2019-09-24.jpg;0.002176943;0.000751495;0.771379948;0.87098515;1;1;;;
./data/test/image/-63_6__3_7_2019-02-26.jpg;0.008742884;0.000988007;0.852698743;0.920498192;1;1;;;
./data/test/image/-63_19__3_62_2019-09-21.jpg;0.001971418;0;0.843687534;0.915240526;1;1;;;
./data/test/image/-53_23__0_01_2018-10-14.jpg;0.001944961;0;0.772980452;0.872009575;1;1;;;
./data/test/image/-71_16__-3_77_2021-01-17.jpg;0.000737333;0;0.714661002;0.83382386;1;1;;;
./data/test/image/-63_19__3_58_2019-09-21.jpg;0.0007083;0;0.759033978;0.863180161;1;1;;;
./data/test/image/-63_675__3_705_2020-03-04.jpg;0.011221305;0.002693176;0.899285793;0.946974218;1;1;;;
./data/test/image/-70_94__-3_43_2021-01-17.jpg;0.001244913;0;0.819377184;0.900773227;1;1;;;
./data/test/image/-63_23__3_57_2018-03-15.jpg;5.31E-07;0;2.34E-05;0.976794124;1;1;;;
./data/test/image/-52_99__-0_23_2018-10-14.jpg;0.006282516;4.58E-05;0.87465775;0.933143139;1;1;;;
./data/test/image/-52_23__0_7_2019-09-24.jpg;4.10E-06;0;0.007128723;0.742609978;1;1;;;
./data/test/image/-53_15__-0_31_2018-10-14.jpg;0.001073843;0;0.732483864;0.84572953;1;1;;;
./data/test/image/-60_82__-2_98_2020-07-29.jpg;0.003778948;0.000347137;0.830283701;0.907287419;1;1;;;
./data/test/image/-71_16__-3_81_2021-01-17.jpg;0.012868809;0.001491547;0.92581439;0.961479068;1;1;;;
./data/test/image/-60_86__-3_02_2020-07-29.jpg;0.034778565;0.000671387;0.887810767;0.940572381;1;1;;;
./data/test/image/-53_19__0_05_2018-10-14.jpg;0.001559706;0;0.81219095;0.896406889;1;1;;;
./data/test/image/-52_99__-0_19_2018-10-14.jpg;0.002744893;0;0.747648656;0.855652988;1;1;;;
./data/test/image/-71_02__-3_43_2021-01-17.jpg;0.000614055;0;0.813649058;0.897360384;1;1;;;
./data/test/image/-70_9__-3_43_2021-01-17.jpg;2.80E-08;0;1.10E-05;0.998954296;1;1;;;
./data/test/image/-53_86__0_52_2019-09-24.jpg;0.00345361;0;0.796916366;0.887005508;1;1;;;
./data/test/image/-63_675__3_705_2020-09-13.jpg;0.011904057;3.81E-06;0.869547009;0.930224717;1;1;;;
./data/test/image/-52_95__-0_11_2018-10-14.jpg;0.001096303;0;0.916198254;0.956277907;1;1;;;
./data/test/image/-71_48__-3_56_2021-01-17.jpg;0.014448673;0;0.917520583;0.956987262;1;1;;;
./data/test/image/-53_19__-0_03_2018-10-14.jpg;0.006380562;2.29E-05;0.866529524;0.928497851;1;1;;;
./data/test/image/-70_86__-3_51_2021-01-17.jpg;7.09E-07;0;6.11E-05;0.966057241;1;1;;;
./data/test/image/-71_35__-3_72_2021-01-17.jpg;0.0099627;0.000213623;0.854787469;0.921713233;1;1;;;
./data/test/image/-52_95__-0_31_2018-10-14.jpg;0.003490711;0;0.781633377;0.877461791;1;1;;;
./data/test/image/-52_95__-0_19_2018-10-14.jpg;0.001768273;0;0.80960381;0.894825101;1;1;;;
./data/test/image/-53_78__0_4_2019-09-24.jpg;0.001453116;0;0.76664263;0.867985725;1;1;;;
./data/test/image/-70_9__-3_47_2021-01-17.jpg;0.000299564;0;0.787682056;0.881550431;1;1;;;
./data/test/image/-52_31__0_62_2019-09-24.jpg;0.002279534;0;0.719832122;0.837167859;1;1;;;
./data/test/image/-53_19__-0_27_2018-10-14.jpg;0.003170904;0;0.801574945;0.889884233;1;1;;;
./data/test/image/-71_64__-3_52_2021-01-17.jpg;5.71E-07;0;0.000101799;0.972439051;1;1;;;
./data/test/image/-53_38__-0_13_2019-09-24.jpg;0.001412025;0;0.750346124;0.857459366;1;1;;;
./data/test/image/-53_7__0_44_2019-09-24.jpg;0.001113499;0;0.685928166;0.8139171;1;1;;;
./data/test/image/-71_12__-3_81_2021-01-17.jpg;0.006373304;0.001167297;0.926003993;0.961582005;1;1;;;
