image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-73_82__-3_91_2019-09-03.jpg;0.05064172297716141;1.9073486328125e-05;0.7628951668739319;0.865504801273346;1.0;1.0
./data/test/image/-53_03__-0_15_2018-10-14.jpg;0.0037123896181583405;0.0;0.6349586248397827;0.7768139839172363;1.0;1.0
./data/test/image/-53_15__-0_11_2018-10-14.jpg;0.012516194023191929;0.0;0.7767313718795776;0.8743453025817871;1.0;1.0
./data/test/image/-70_86__-3_47_2021-01-17.jpg;0.00751133868470788;0.0;0.6790478825569153;0.8088794946670532;1.0;1.0
./data/test/image/-53_27__0_01_2018-10-14.jpg;0.003275803755968809;0.000713348388671875;0.7217271327972412;0.8384262919425964;1.0;1.0
./data/test/image/-53_7__0_4_2019-09-24.jpg;0.0021378477104008198;0.0;0.6069795489311218;0.7556104063987732;1.0;1.0
./data/test/image/-53_03__-0_23_2018-10-14.jpg;0.005923429504036903;0.0;0.7304999232292175;0.8442901372909546;1.0;1.0
./data/test/image/-53_78__0_36_2019-09-24.jpg;0.00820460356771946;0.0;0.7473816275596619;0.8554463982582092;1.0;1.0
./data/test/image/-53_38__-0_17_2019-09-24.jpg;0.0015554102137684822;0.0;0.58817458152771;0.7409837245941162;1.0;1.0
./data/test/image/-71_56__-3_52_2021-01-17.jpg;0.0025841062888503075;0.0;0.8552461266517639;0.9219908714294434;1.0;1.0
./data/test/image/-53_42__-0_13_2019-09-24.jpg;0.0018299281364306808;0.0;0.7846997976303101;0.8794142007827759;1.0;1.0
./data/test/image/-53_78__0_44_2019-09-24.jpg;0.0023603923618793488;0.0;0.392069548368454;0.5638267993927002;1.0;1.0
./data/test/image/-53_78__0_32_2019-09-24.jpg;6.0189151554368436e-05;0.0;0.001842012512497604;0.21220895648002625;1.0;1.0
./data/test/image/-71_02__-3_55_2021-01-17.jpg;0.02391607128083706;0.0;0.8401697278022766;0.9131456613540649;1.0;1.0
./data/test/image/-53_9__0_56_2019-09-24.jpg;0.004590155091136694;0.0;0.6260566115379333;0.7701045870780945;1.0;1.0
./data/test/image/-63_6__3_7_2019-02-26.jpg;0.02317993715405464;0.0007171630859375;0.7656123042106628;0.8672531843185425;1.0;1.0
./data/test/image/-63_19__3_62_2019-09-21.jpg;0.006915503181517124;3.0517578125e-05;0.641023576259613;0.7812929153442383;1.0;1.0
./data/test/image/-53_23__0_01_2018-10-14.jpg;0.0030598356388509274;0.0;0.7175255417823792;0.8355902433395386;1.0;1.0
./data/test/image/-71_16__-3_77_2021-01-17.jpg;0.0008392565650865436;0.0;0.6517985463142395;0.7895447611808777;1.0;1.0
./data/test/image/-63_19__3_58_2019-09-21.jpg;0.005359681788831949;0.0;0.47579386830329895;0.6449506282806396;1.0;1.0
./data/test/image/-63_675__3_705_2020-03-04.jpg;0.018079187721014023;0.000766754150390625;0.8511624932289124;0.9196000695228577;1.0;1.0
./data/test/image/-70_94__-3_43_2021-01-17.jpg;0.008176613599061966;0.0;0.6749607920646667;0.8059713840484619;1.0;1.0
./data/test/image/-63_23__3_57_2018-03-15.jpg;5.752258402935695e-06;0.0;0.00027561865863390267;0.8159273266792297;1.0;1.0
./data/test/image/-52_99__-0_23_2018-10-14.jpg;0.008570168167352676;0.000225067138671875;0.7805737257003784;0.8767777681350708;1.0;1.0
./data/test/image/-52_23__0_7_2019-09-24.jpg;0.00170717085711658;0.0;0.4792531430721283;0.6484348773956299;1.0;1.0
./data/test/image/-53_15__-0_31_2018-10-14.jpg;0.0008602599846199155;0.0;0.6769348382949829;0.807640016078949;1.0;1.0
./data/test/image/-60_82__-2_98_2020-07-29.jpg;0.006788885220885277;0.0;0.7014771699905396;0.8245788812637329;1.0;1.0
./data/test/image/-71_16__-3_81_2021-01-17.jpg;0.022449184209108353;0.0;0.877914547920227;0.9349899888038635;1.0;1.0
./data/test/image/-60_86__-3_02_2020-07-29.jpg;0.04584969952702522;0.00409698486328125;0.8478142023086548;0.9176409840583801;1.0;1.0
./data/test/image/-53_19__0_05_2018-10-14.jpg;0.0016400013118982315;0.0;0.7184032201766968;0.8362330794334412;1.0;1.0
./data/test/image/-52_99__-0_19_2018-10-14.jpg;0.003975254483520985;0.0;0.4965796172618866;0.6637963056564331;1.0;1.0
./data/test/image/-71_02__-3_43_2021-01-17.jpg;0.004415489267557859;0.0;0.677818238735199;0.8080284595489502;1.0;1.0
./data/test/image/-70_9__-3_43_2021-01-17.jpg;0.0005674145650118589;0.0;0.29003772139549255;0.453059583902359;1.0;1.0
./data/test/image/-53_86__0_52_2019-09-24.jpg;0.003933200147002935;0.0;0.6584233641624451;0.7941031455993652;1.0;1.0
./data/test/image/-63_675__3_705_2020-09-13.jpg;0.02056891657412052;0.00666046142578125;0.8374772071838379;0.9115535020828247;1.0;1.0
./data/test/image/-52_95__-0_11_2018-10-14.jpg;0.002627566223964095;0.0;0.8446171879768372;0.9157814383506775;1.0;1.0
./data/test/image/-71_48__-3_56_2021-01-17.jpg;0.018822606652975082;0.0;0.8940765857696533;0.9440775513648987;1.0;1.0
./data/test/image/-53_19__-0_03_2018-10-14.jpg;0.01970187947154045;0.0;0.7614843845367432;0.8645997643470764;1.0;1.0
./data/test/image/-70_86__-3_51_2021-01-17.jpg;0.0013255454832687974;0.0;0.7560145258903503;0.8611516952514648;1.0;1.0
