image;loss;accuracy;iou;dice;tp;tn;;;
./data/test/image/-63_44__-10_04_2018-07-25.jpg;0.140902326;0;0.311195254;0.474684924;1;1;;0.293393728;0.453334995
./data/test/image/-63_56__-9_92_2018-07-25.jpg;0.019848442;0;0.266448855;0.420880854;1;1;;;
./data/test/image/-63_52__-10_0_2018-07-25.jpg;0.047966331;0;0.30265063;0.4647021;1;1;;;
./data/test/image/-56_16__-2_58_2020-09-06.jpg;0.024552107;0;0.317600936;0.482150018;1;1;;;
./data/test/image/-63_48__-10_04_2018-07-25.jpg;0.059628814;0;0.293680996;0.454051882;1;1;;;
./data/test/image/-59_2__2_23_2020-09-12.jpg;0.041022025;0;0.297996879;0.459203988;1;1;;;
./data/test/image/-63_6__-10_08_2018-07-25.jpg;0.01590826;0;0.25071919;0.401057422;1;1;;;
./data/test/image/-59_16__2_19_2020-09-12.jpg;0.065215409;0;0.302624315;0.464662224;1;1;;;
./data/test/image/-56_24__-2_54_2020-09-06.jpg;0.10560821;0;0.321999967;0.487154245;1;1;;;
./data/test/image/-63_52__-9_88_2018-07-25.jpg;0.014502943;0;0.279270917;0.436735839;1;1;;;
./data/test/image/-63_44__-9_96_2018-07-25.jpg;0.024251504;0;0.283143073;0.441401452;1;1;;;
