image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-63_44__-10_04_2018-07-25.jpg;0.04207490757107735;0.017681121826171875;0.8262085318565369;0.904836118221283;1.0;1.0
./data/test/image/-63_56__-9_92_2018-07-25.jpg;0.006219783332198858;0.0;0.6998917460441589;0.8234855532646179;1.0;1.0
./data/test/image/-63_52__-10_0_2018-07-25.jpg;0.01634882017970085;0.00063323974609375;0.7811489105224609;0.8771349787712097;1.0;1.0
./data/test/image/-56_16__-2_58_2020-09-06.jpg;0.006474560126662254;0.0;0.8892249464988708;0.9413681626319885;1.0;1.0
./data/test/image/-63_48__-10_04_2018-07-25.jpg;0.021893303841352463;0.0;0.7223263382911682;0.8387871980667114;1.0;1.0
./data/test/image/-59_2__2_23_2020-09-12.jpg;0.022654389962553978;0.00016021728515625;0.831703245639801;0.9081223607063293;1.0;1.0
./data/test/image/-63_6__-10_08_2018-07-25.jpg;0.006891725584864616;0.0;0.6564960479736328;0.7926706671714783;1.0;1.0
./data/test/image/-59_16__2_19_2020-09-12.jpg;0.02172570489346981;0.00458526611328125;0.8300774693489075;0.907152533531189;1.0;1.0
./data/test/image/-56_24__-2_54_2020-09-06.jpg;0.010078875347971916;0.004482269287109375;0.8925945162773132;0.9432516694068909;1.0;1.0
./data/test/image/-63_52__-9_88_2018-07-25.jpg;0.006396820768713951;0.0;0.6415055990219116;0.7816519737243652;1.0;1.0
./data/test/image/-63_44__-9_96_2018-07-25.jpg;0.008694453164935112;0.0;0.7656524777412415;0.8672868609428406;1.0;1.0
