image;loss;accuracy;iou;dice;tp;tn;;;
./data/test/image/-63_44__-10_04_2018-07-25.jpg;0.19904393;0;0.301755399;0.463621199;1;1;;0.250420704;0.396728253
./data/test/image/-63_56__-9_92_2018-07-25.jpg;0.061223283;0;0.191891372;0.322045267;1;1;;;
./data/test/image/-63_52__-10_0_2018-07-25.jpg;0.088098638;0;0.250490099;0.400652021;1;1;;;
./data/test/image/-56_16__-2_58_2020-09-06.jpg;0.02674496;0;0.320113569;0.485035032;1;1;;;
./data/test/image/-63_48__-10_04_2018-07-25.jpg;0.089429468;0;0.257670999;0.409782797;1;1;;;
./data/test/image/-59_2__2_23_2020-09-12.jpg;0.060345389;0;0.291118234;0.450984478;1;1;;;
./data/test/image/-63_6__-10_08_2018-07-25.jpg;0.024354175;0;0.113774158;0.2045165;1;1;;;
./data/test/image/-59_16__2_19_2020-09-12.jpg;0.051823169;0;0.27853474;0.435745627;1;1;;;
./data/test/image/-56_24__-2_54_2020-09-06.jpg;0.093338385;0;0.30794552;0.470901251;1;1;;;
./data/test/image/-63_52__-9_88_2018-07-25.jpg;0.043786608;0;0.187158018;0.315376401;1;1;;;
./data/test/image/-63_44__-9_96_2018-07-25.jpg;0.091932155;0;0.254175633;0.405350208;1;1;;;
