image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-63_44__-10_04_2018-07-25.jpg;0.16942563652992249;0.0;0.3615152835845947;0.5310571193695068;1.0;1.0
./data/test/image/-63_56__-9_92_2018-07-25.jpg;0.07979097962379456;0.0;0.09031941741704941;0.16574443876743317;1.0;1.0
./data/test/image/-63_52__-10_0_2018-07-25.jpg;0.0929432064294815;0.0;0.2921220362186432;0.4521822929382324;1.0;1.0
./data/test/image/-56_16__-2_58_2020-09-06.jpg;0.03394927456974983;0.0;0.5782489776611328;0.7327888011932373;1.0;1.0
./data/test/image/-63_48__-10_04_2018-07-25.jpg;0.11117783188819885;0.0;0.1838689148426056;0.3106546700000763;1.0;1.0
./data/test/image/-59_2__2_23_2020-09-12.jpg;0.08898265659809113;0.0;0.36479049921035767;0.5345908999443054;1.0;1.0
./data/test/image/-63_6__-10_08_2018-07-25.jpg;0.10324300825595856;0.0;0.05598770081996918;0.10610034316778183;1.0;1.0
./data/test/image/-59_16__2_19_2020-09-12.jpg;0.06431585550308228;0.0;0.4150134325027466;0.5866043567657471;1.0;1.0
./data/test/image/-56_24__-2_54_2020-09-06.jpg;0.08908107131719589;0.0;0.3978187143802643;0.5692135691642761;1.0;1.0
./data/test/image/-63_52__-9_88_2018-07-25.jpg;0.06617984175682068;0.0;0.11387597769498825;0.20454446971416473;1.0;1.0
./data/test/image/-63_44__-9_96_2018-07-25.jpg;0.09122371673583984;0.0;0.23097825050354004;0.37530872225761414;1.0;1.0
