filename,width,height,xmin,ymin,xmax,ymax,class
-56_16__-2_54_2020-09-06.jpg,1000,1000,1,1,219,323,legal
-56_16__-2_54_2020-09-06.jpg,1000,1000,1,209,869,1000,legal
-56_16__-2_58_2020-09-06.jpg,1000,1000,78,1,381,142,legal
-56_16__-2_58_2020-09-06.jpg,1000,1000,1,185,54,348,legal
-56_16__-2_58_2020-09-06.jpg,1000,1000,1,49,41,151,legal
-56_16__-2_58_2020-09-06.jpg,1000,1000,1,1,23,18,legal
-56_16__-2_5_2020-09-06.jpg,1000,1000,1,274,314,552,legal
-56_16__-2_5_2020-09-06.jpg,1000,1000,1,651,273,974,legal
-56_24__-2_54_2020-09-06.jpg,1000,1000,46,1,486,825,legal
-56_24__-2_54_2020-09-06.jpg,1000,1000,706,1,1000,81,legal
-56_24__-2_5_2020-09-06.jpg,1000,1000,25,921,181,1000,legal
-56_24__-2_5_2020-09-06.jpg,1000,1000,45,656,717,1000,legal
-56_24__-2_5_2020-09-06.jpg,1000,1000,754,549,1000,1000,legal
-56_24__-2_5_2020-09-06.jpg,1000,1000,50,552,1000,1000,legal
-56_2__-2_54_2020-09-06.jpg,1000,1000,717,707,1000,1000,legal
-56_2__-2_54_2020-09-06.jpg,1000,1000,501,1,1000,397,legal
-56_2__-2_54_2020-09-06.jpg,1000,1000,1,1,198,94,legal
-56_2__-2_58_2020-09-06.jpg,1000,1000,610,1,1000,410,legal
-56_2__-2_5_2020-09-06.jpg,1000,1000,1,291,750,967,legal
-56_2__-2_5_2020-09-06.jpg,1000,1000,785,290,1000,600,legal
-56_2__-2_5_2020-09-06.jpg,1000,1000,552,853,834,1000,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,153,654,215,728,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,118,742,129,754,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,1,5,633,619,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,1,70,101,156,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,98,4,133,32,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,1,163,176,351,legal
-59_16__2_19_2020-09-12.jpg,1000,1000,150,251,624,516,legal
-59_16__2_23_2020-09-12.jpg,1000,1000,1,648,168,746,legal
-59_2__2_15_2020-09-12.jpg,1000,1000,159,373,174,395,legal
-59_2__2_15_2020-09-12.jpg,1000,1000,157,302,175,334,legal
-59_2__2_15_2020-09-12.jpg,1000,1000,196,1,353,287,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,544,734,861,998,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,824,10,1000,170,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,860,253,1000,363,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,364,160,488,210,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,120,215,434,805,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,297,802,434,1000,legal
-59_2__2_19_2020-09-12.jpg,1000,1000,441,13,733,698,legal
-59_2__2_23_2020-09-12.jpg,1000,1000,337,479,369,542,legal
-59_2__2_23_2020-09-12.jpg,1000,1000,256,232,346,329,legal
-59_2__2_23_2020-09-12.jpg,1000,1000,661,870,756,995,legal
-59_2__2_23_2020-09-12.jpg,1000,1000,804,894,822,950,legal
-59_2__2_23_2020-09-12.jpg,1000,1000,479,14,1000,823,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,470,540,746,633,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,563,366,720,517,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,443,278,693,366,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,239,64,634,279,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,19,3,263,263,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,99,265,243,403,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,47,374,131,428,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,1,407,264,1000,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,321,655,385,704,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,386,893,563,1000,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,532,660,811,962,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,867,475,875,487,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,822,520,865,591,legal
-63_36__-10_04_2018-07-25.jpg,1000,1000,679,124,700,139,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,1,1,88,143,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,172,81,312,146,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,93,333,177,457,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,1,848,115,1000,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,178,521,333,739,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,684,1,756,269,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,750,565,770,605,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,160,446,639,1000,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,544,890,788,1000,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,785,702,901,1000,legal
-63_36__-10_08_2018-07-25.jpg,1000,1000,548,713,801,890,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,17,496,59,548,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,122,826,198,880,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,358,281,393,417,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,308,255,356,297,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,334,181,384,244,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,256,201,269,212,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,446,273,468,288,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,789,346,807,369,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,830,385,847,418,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,921,331,960,352,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,948,442,964,464,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,548,832,594,863,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,614,884,635,934,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,532,965,631,1000,legal
-63_36__-10_0_2018-07-25.jpg,1000,1000,49,975,71,1000,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,623,257,711,375,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,282,198,345,252,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,503,527,704,674,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,323,810,404,873,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,283,864,320,913,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,237,911,296,996,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,429,811,463,883,legal
-63_36__-9_88_2018-07-25.jpg,1000,1000,191,404,228,428,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,376,670,402,713,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,187,794,207,856,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,49,550,129,626,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,108,284,348,383,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,1,264,41,338,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,495,227,594,293,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,522,118,588,144,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,777,303,817,354,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,637,498,662,555,legal
-63_36__-9_92_2018-07-25.jpg,1000,1000,232,400,256,419,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,265,779,405,941,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,234,890,259,921,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,136,740,200,876,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,725,421,909,583,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,45,376,208,460,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,1,269,48,363,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,1,192,163,261,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,106,628,138,740,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,224,708,266,729,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,476,915,546,942,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,564,933,606,992,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,619,893,641,909,legal
-63_36__-9_96_2018-07-25.jpg,1000,1000,309,618,328,636,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,761,69,797,89,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,905,146,931,177,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,825,202,859,245,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,851,258,970,405,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,911,430,1000,571,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,771,605,944,754,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,748,796,801,864,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,792,889,944,968,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,583,885,700,1000,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,119,702,330,782,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,285,853,594,1000,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,1,867,273,1000,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,1,631,88,816,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,1,219,370,803,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,181,158,229,212,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,1,135,67,157,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,1,1,53,30,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,143,39,220,107,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,437,20,460,56,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,424,524,606,649,legal
-63_44__-10_04_2018-07-25.jpg,1000,1000,701,1,827,19,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,899,440,976,540,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,789,447,839,578,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,825,640,953,690,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,683,557,808,696,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,641,667,1000,851,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,264,632,656,846,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,58,111,341,630,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,68,1,1000,144,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,855,141,894,219,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,628,167,745,238,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,494,255,550,314,legal
-63_44__-10_08_2018-07-25.jpg,1000,1000,894,316,903,340,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,212,238,304,419,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,1,75,462,253,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,354,1,460,46,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,36,945,97,997,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,563,764,898,1000,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,188,548,218,574,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,334,498,399,530,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,408,439,652,751,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,639,311,756,446,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,716,1,939,301,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,604,169,752,236,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,506,133,615,249,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,510,88,556,103,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,184,914,245,974,legal
-63_44__-10_0_2018-07-25.jpg,1000,1000,284,859,306,891,legal
-63_44__-9_88_2018-07-25.jpg,1000,1000,117,342,438,504,legal
-63_44__-9_88_2018-07-25.jpg,1000,1000,498,476,535,501,legal
-63_44__-9_88_2018-07-25.jpg,1000,1000,510,910,527,928,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,133,200,226,243,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,175,463,252,528,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,574,276,655,308,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,692,210,791,250,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,875,796,968,954,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,936,537,994,589,legal
-63_44__-9_92_2018-07-25.jpg,1000,1000,945,360,1000,424,legal
-63_44__-9_96_2018-07-25.jpg,1000,1000,256,633,317,759,legal
-63_44__-9_96_2018-07-25.jpg,1000,1000,322,832,427,1000,legal
-63_44__-9_96_2018-07-25.jpg,1000,1000,858,800,964,1000,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,46,7,306,215,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,87,459,123,512,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,1,502,38,525,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,302,335,366,594,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,450,6,658,175,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,506,178,592,224,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,638,171,730,219,legal
-63_48__-10_04_2018-07-25.jpg,1000,1000,767,192,1000,331,legal
